time,high,low,open,close,volumeto
1720794600,58015.26,57926.28,57937.83,57934.73,7435080.34
1720794660,57935.06,57885.62,57934.73,57890.04,3433980.04
1720794720,57913.98,57878.32,57890.04,57878.6,3572719.07
1720794780,57907.32,57877.76,57878.6,57878.26,2747225.51
1720794840,57904.98,57862.82,57878.26,57862.82,3139574.2
1720794900,57896.79,57834.67,57862.82,57858.1,3231957.79
1720794960,57909.09,57842.13,57858.1,57904.79,5163489.13
1720795020,57939.92,57896.4,57904.79,57902.58,5861404.51
1720795080,57903.39,57846.61,57902.58,57887.16,2745702.58
1720795140,57927.41,57885.1,57887.16,57926.32,3619335.75
1720795200,57955.16,57911.5,57926.32,57949.92,5897787.66
1720795260,57950.98,57916.13,57949.92,57941.45,4076789.04
1720795320,57952.06,57896.94,57941.45,57896.94,2977267.63
1720795380,57952.17,57866.13,57896.94,57947.75,4513672.03
1720795440,57952.54,57940.01,57947.75,57952.08,2781276.41
1720795500,57953.85,57932.65,57952.08,57946.83,3199386.4
1720795560,57963.99,57903.79,57946.83,57906.04,4879169.03
1720795620,57910.32,57846.14,57906.04,57846.14,3750943.19
1720795680,57877.69,57830.53,57846.14,57845.16,3171561.55
1720795740,57870.6,57845.16,57845.16,57869.43,2275920.41
1720795800,57878.66,57822.96,57869.43,57837.96,2407092.69
1720795860,57837.97,57795.11,57837.96,57814.68,2548074.61
1720795920,57818.68,57779.99,57814.68,57791.63,3265759.08
1720795980,57795.69,57782.6,57791.63,57785.77,1977721.19
1720796040,57798.75,57778.7,57785.77,57798.75,2615617.53
1720796100,57810.63,57746.47,57798.75,57746.47,2753056.88
1720796160,57788.3,57727.22,57746.47,57782.42,4339156.62
1720796220,57826.98,57772.44,57782.42,57821.94,4904167.37
1720796280,57822.81,57786.4,57821.94,57797.25,1476191.79
1720796340,57818.37,57790.12,57797.25,57818.37,1068643.5
1720796400,57819,57775.03,57818.37,57781.2,3746952.11
1720796460,57823.23,57781.2,57781.2,57821.09,2527321.8
1720796520,57911.88,57821.09,57821.09,57910.82,3936085.83
1720796580,57974.72,57905.87,57910.82,57970.65,6262868.22
1720796640,57973.12,57902.86,57970.65,57908.78,4535590.89
1720796700,57909.49,57816.38,57908.78,57852.32,2849712.98
1720796760,57897.25,57848.61,57852.32,57897.25,2526939.28
1720796820,57923.03,57854.52,57897.25,57919.94,2807306.83
1720796880,57926.53,57886.26,57919.94,57894.94,1575169.97
1720796940,57930.03,57876.77,57894.94,57887,1909969.02
1720797000,57947.01,57886.59,57887,57938.67,3941726.23
1720797060,57965.04,57932.76,57938.67,57944.76,2722557.46
1720797120,57966.15,57933.38,57944.76,57934.01,3109753.37
1720797180,57950.27,57919.97,57934.01,57944.56,2757441.78
1720797240,57958.4,57939.34,57944.56,57939.34,2882079.83
1720797300,57973.49,57939.33,57939.34,57960.75,2760011.44
1720797360,57962.35,57943.64,57960.75,57948.05,2794073.56
1720797420,57949.66,57883.83,57948.05,57917.99,2916595.25
1720797480,57923.42,57877.3,57917.99,57880.24,2277961.71
1720797540,57888.55,57858.87,57880.24,57861.36,2023698.17
1720797600,57880.17,57831.37,57861.36,57854.28,4288980.44
1720797660,57895.7,57853.46,57854.28,57869.01,3461306.68
1720797720,57904.22,57847.94,57869.01,57904.22,2809748.62
1720797780,57911.99,57865.75,57904.22,57865.75,2871452.52
1720797840,57939.81,57860.07,57865.75,57925.42,3180928.28
1720797900,57983.67,57924.6,57925.42,57982.55,3633740.31
1720797960,57993.26,57954.04,57982.55,57987.73,4144146.73
1720798020,58183.79,57982.14,57987.73,58179.14,15668345.88
1720798080,58179.32,58139.96,58179.14,58164.75,5020478.84
